state,crop,year,season,temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,yield,Mean_N_SOIL,Mean_P_SOIL,Mean_K_SOIL,Mean_TEMPERATURE,Mean_HUMIDITY,Mean_PH,Inflation annual %,Real GDP annual growth %,Population
Andaman and Nicobar Islands,Sesamum,2024,Autumn,26.05737704918033,28.07213114754099,10.9572131147541,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.55,6.29,1441720000
Andaman and Nicobar Islands,Sesamum,2024,Summer,27.15794392523365,29.36261682242991,9.229532710280374,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.55,6.29,1441720000
Andaman and Nicobar Islands,Sesamum,2024,Winter,26.17142857142857,28.54285714285714,4.81065934065934,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.55,6.29,1441720000
Andaman and Nicobar Islands,Sesamum,2025,Autumn,26.03934426229509,28.01639344262295,11.59688524590164,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.09,6.33,1454610000
Andaman and Nicobar Islands,Sesamum,2025,Summer,26.88738317757009,29.11588785046729,7.736028037383178,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.09,6.33,1454610000
Andaman and Nicobar Islands,Sesamum,2025,Winter,25.99333333333334,28.16444444444445,3.109666666666667,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.09,6.33,1454610000
Andaman and Nicobar Islands,Sesamum,2026,Autumn,26.64262295081967,28.5983606557377,5.392950819672132,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.09,6.32,1467230000
Andaman and Nicobar Islands,Sesamum,2026,Summer,26.87616822429906,29.27336448598131,7.947523364485981,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.09,6.32,1467230000
Andaman and Nicobar Islands,Sesamum,2026,Winter,25.63444444444444,27.95333333333334,8.581888888888889,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.09,6.32,1467230000
Andaman and Nicobar Islands,Sesamum,2027,Autumn,26.09508196721312,27.96229508196721,7.672459016393442,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.0,6.35,1479580000
Andaman and Nicobar Islands,Sesamum,2027,Summer,26.79158878504673,29.07009345794393,8.767429906542056,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.0,6.35,1479580000
Andaman and Nicobar Islands,Sesamum,2027,Winter,26.29666666666666,28.38444444444444,1.767444444444444,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.0,6.35,1479580000
Andaman and Nicobar Islands,Sesamum,2028,Autumn,26.17377049180328,28.29016393442623,8.290327868852458,0.0,0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335,4.0,6.26,1491670000
