crop,state,year,season,yield,Inflation annual %,Real GDP annual growth %,Population,temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,Mean_N_SOIL,Mean_P_SOIL,Mean_K_SOIL,Mean_TEMPERATURE,Mean_HUMIDITY,Mean_PH
Sesamum,Andaman and Nicobar Islands,1998,Summer,0.0,13.23083898,6.184415822,1021434576.0,26.81297123097928,29.23283096563036,6.618691618858932,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
Sesamum,Andaman and Nicobar Islands,1998,Autumn,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,1998,Winter,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,1999,Summer,0.0,4.66982038,8.845755559,1040500054.0,26.13540115534702,28.18026096130086,7.464953250591164,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
Sesamum,Andaman and Nicobar Islands,1999,Autumn,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,1999,Winter,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2000,Summer,0.0,4.00943591,3.840991157,1059633675.0,26.00082163944423,28.18119543735112,9.107009379384674,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
Sesamum,Andaman and Nicobar Islands,2000,Autumn,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2000,Winter,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2001,Summer,0.0,3.779293122,4.823966266,1078970907.0,26.41273758790203,28.61507405076071,7.593457886409537,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
Sesamum,Andaman and Nicobar Islands,2001,Autumn,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2001,Winter,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2002,Summer,0.0,4.297152039,3.803975321,1098313039.0,26.60362544906474,28.88283110110559,6.100934589507981,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
Sesamum,Andaman and Nicobar Islands,2002,Autumn,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2002,Winter,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2003,Summer,0.0,3.805858995,7.860381476,1117415123.0,26.45105529499945,28.68026097912655,7.044859885368671,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
Sesamum,Andaman and Nicobar Islands,2003,Autumn,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2003,Winter,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2004,Summer,0.0,3.767251735,7.922936613,1136264583.0,26.39825163154958,28.67325157985509,7.884112225932496,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
Sesamum,Andaman and Nicobar Islands,2004,Autumn,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2004,Winter,0.0,6.34755033223077,6.193452260961539,1241856917.4615386,19.14796037637281,28.225199479898702,3.347841100482496,0.00011976617204639484,57.65561076275216,43.95329567534422,36.22029788245941,24.27029786675808,73.89696145947624,6.445452856031684
Sesamum,Andaman and Nicobar Islands,2005,Summer,0.0,4.24634362,7.923430621,1154638713.0,26.62091512769182,28.90642915707882,8.500934640694165,0.0,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,6.6289803951333335
